"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=2000&queryText%3Dheart+rate+age",2015/06/27 01:56:58
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Characterization of heart rate dynamics in infants as a probe for neural state and age","Landes, R.A.; Scher, M.S.; Mingui Sun; Sclabassi, R.J.","Pittsburgh Univ., PA, USA","Engineering in Medicine and Biology Society, 1996. Bridging Disciplines for Biomedicine. Proceedings of the 18th Annual International Conference of the IEEE","20020806","1996","4","","1662","1663 vol.4","Heart rate variation is a powerful tool for investigating the state of the central nervous system (CNS). Changes in this variation can be studied in infants over developmental periods to examine maturation of the CNS. This work examines these changes using several methods in order to characterize changes in heart rate patterns across conceptional ages and sleep-wake states. The authors' methods included comparison of mean heart rates across EEG-sleep states, quantitative analysis of Poincare plots, and examination of R-R interval frequency changes over time. The authors' results show that mean heart rate is highly dependent on state, even in very premature infants, and that R-R interval frequency becomes more indicative of state after 35 weeks conceptional age (CA). Also, an increase in heart rate variability over age for all sleep waking states was noted with higher frequency components of R-R interval changes during quiet sleep states. Larger frequency changes were apparent over progressively maturing ages for quiet sleep when compared to active sleep. These findings most likely reflect maturation of heart rate modulation by the CNS, with variations across states possibly indicating differences in developmental patterns of the sympathetic and parasympathetic branches of the autonomic nervous system","","0-7803-3811-1","","10.1109/IEMBS.1996.647601","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=647601","","Autonomic nervous system;Band pass filters;Central nervous system;Frequency;Heart rate;Heart rate variability;Pediatrics;Probes;Scattering;Sleep","electrocardiography;medical signal processing;neurophysiology","CNS maturation;ECG analysis;EEG-sleep states;Poincare plots;R-R interval frequency changes;autonomic nervous system;conceptional age;developmental periods;electrodiagnostics;heart rate dynamics characterization;heart rate variation;infants;neural state;parasympathetic branch;sympathetic branch;very premature infants","","1","","5","","","31 Oct-3 Nov 1996","31 Oct 1996-03 Nov 1996","IEEE","IEEE Conference Publications"
"A Comparison of the Effect of a Low to Moderately Demanding Cognitive Task on Simulated Driving Performance and Heart Rate in Middle Aged and Young Adult Drivers","Reimer, B.; Mehler, B.; Coughlin, J.F.; Ying Wang; D'Ambrosio, L.A.; Roy, N.; Long, J.; Bell, A.; Wood, D.; Dusek, J.A.","AgeLab, Massachusetts Inst. of Technol., Cambridge, MA","Cyberworlds, 2008 International Conference on","20090109","2008","","","493","500","The goal of this study was to assess heart rate and driving performance while middle age and younger adults engaged in a naturalistic hands free phone task that was structured to place objectively equivalent cognitive demands on all participants. Although heart rate measures have been used in evaluating driver workload, prior studies had not compared responses in middle age and younger adults. Younger and middle age subjects performed equally well on the cellular telephone task. Middle age subjects drove more slowly overall and, as a group, did not demonstrate heart rate acceleration in response to the phone conversation that was seen in younger drivers. Both age groups showed a drop in speed control during the task. Late middle age adults appear as capable as young adults of managing the additional workload of a low to moderately demanding cognitive task while driving.","","978-0-7695-3381-0","","10.1109/CW.2008.69","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4741342","Cell Phone Conversations;Cognitive Task;Driving Performance;Driving Simulation;Heart Rate;Older Drivers. Traffic Safety;Physiology","Accelerated aging;Arithmetic;Cellular phones;Drives;Heart rate;Information processing;Safety;Telephony;Testing;Velocity control","cardiology;cellular radio;cognition;medical computing;road safety;road traffic;traffic engineering computing;velocity control","cellular telephone task;cognitive demand;cognitive task;driver workload;heart rate acceleration;middle aged drivers;naturalistic hands free phone task;phone conversation;simulated driving performance;speed control;young adult drivers","","1","","34","","","22-24 Sept. 2008","","IEEE","IEEE Conference Publications"
"Multiscale entropy analysis of complex heart rate dynamics: discrimination of age and heart failure effects","Costa, M.; Healey, J.A.","","Computers in Cardiology, 2003","20040504","2003","","","705","708","Quantifying the complexity of physiologic time series has been of considerable interest. Several entropy-based measures have been proposed, although there is no straightforward correspondence between entropy and complexity. These traditional algorithms may generate misleading results because an increase in system entropy is not always associated with an increase in its complexity, and because the algorithms are based on single time scales. Recently, we introduced a new method, multiscale entropy (MSE) analysis, to calculate entropy over a wide range of scales. In this study, we sought to determine whether loss of complexity due to aging could be distinguished from that due to major cardiac pathology. We analyzed RR time series from young subjects (n = 26), elderly subjects (n = 46) and subjects with congestive heart failure (n = 43). The mean MSE measures of each of the three groups revealed characteristic curves, suggesting that they capture fundamental changes in the heart rate dynamics due to age and disease. We used Fisher's linear discriminant to evaluate the use of MSE features for classification. In discriminant tests on the training data, we found that MSE features could separate elderly, young and heart failure subjects with 92% accuracy and that older healthy subjects (mean age = 65.9) could be separated from subjects with heart failure (mean age = 55.5) with 94% accuracy. Also, we discriminated data from heart failure subjects and elderly healthy subjects with a positive predictivity of 76% and a specificity of 83% using only the MSE features. Larger databases will be needed to confirm if automatic classification results can match separation results. We conclude that MSE features capture differences in complexity due to aging and heart failure. These differences have implications for modeling neuroautonomic perturbations in health and disease.","0276-6547","0-7803-8170-X","","10.1109/CIC.2003.1291253","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1291253","","Aging;Cardiac disease;Cardiovascular diseases;Entropy;Failure analysis;Heart rate;Linear discriminant analysis;Pathology;Senior citizens;Time series analysis","cardiology;diseases;entropy;medical signal processing;signal classification;time series","Fisher linear discriminant;RR time series;age effects;cardiac pathology;complex heart rate dynamics;elderly subjects;heart failure effects;multiscale entropy analysis;physiologic time series;young subjects","","2","2","","","","21-24 Sept. 2003","","IEEE","IEEE Conference Publications"
"Association of Heart Rates with Stress Response Inventory Scores in Different Age Groups","Jinho Kim; Chan-Hyun Youn; Jong-Min Woo; Suntae Jung; Desok Kim","Inf. & Commun. Univ., Daejeon","Engineering in Medicine and Biology Society, 2007. EMBS 2007. 29th Annual International Conference of the IEEE","20071022","2007","","","5751","5753","Many studies reported heart rate changes were associated with mental stress. Recently, a stress response inventory (SRI) questionnaire has been devised to score physical, mental, and emotional symptoms related to mental stress occurred during the past two weeks. However, SRI has too many items to be asked routinely in a mobile device such as a cellular phone. Furthermore, its individual scores may not contribute equally to estimating stress levels in different age groups. Therefore, we sought to identify mental stress factors in the SRI that were associated with heart rate changes in different age groups. Subjects aged from 20 to 69 (n=369) scored a simplified SRI and then heart rates were measured. Multiple linear regression analysis was performed to detect subsets of SRI items that showed significant relationships with heart rates (p-value <0.1). We expect that these age dependent models could be used in identifying the cause of heart rate changes in a mobile application.","1557-170X","978-1-4244-0787-3","","10.1109/IEMBS.2007.4353653","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4353653","","Aging;Cellular phones;Heart rate;History;Hospitals;Human factors;Linear regression;Performance analysis;Psychology;Stress measurement","biomedical measurement;cardiology;neurophysiology;psychology;regression analysis","age 20 yr to 69 yr;age groups;emotional symptoms;heart rate measurement;mental stress response inventory scores;mental symptoms;mobile application;multiple linear regression analysis;physical symptoms","Adult;Aging;Diagnosis, Computer-Assisted;Electrocardiography;Female;Heart Rate;Humans;Male;Middle Aged;Personality Inventory;Reproducibility of Results;Sensitivity and Specificity;Statistics as Topic;Stress, Psychological","1","","7","","","22-26 Aug. 2007","","IEEE","IEEE Conference Publications"
"Voluntary cardiorespiratory synchronization: heart rate variability as a function of age, tidal volume and body position","Patterson, Robert; Kaiser, D.","Minnesota Univ., Minneapolis, MN, USA","Engineering in Medicine and Biology Society, 1996. Bridging Disciplines for Biomedicine. Proceedings of the 18th Annual International Conference of the IEEE","20020806","1996","4","","1575","1576 vol.4","A technique of voluntary cardiorespiratory synchronization (VCRS), where the respiration rate is synchronized at a sub-multiple of the heart rate (1:5), was used to investigate heart rate variability (HRV) in 14 subjects as a function of age, body position, and respiratory tidal volumes of 500 ml and 1000 ml. Following a tone, the subjects inspired for two heart beats and expired for three beats. Subjects were grouped according to age into two groups (20 to 30 and 46 to 57). The results showed no statistically significant change with tidal volume but a significant decrease in HRV with age. Changing from sitting to supine showed a slight increase in HRV for the younger group whereas the older group showed a decrease. Because a constant phase relationship between respiration and the heart beats is maintained, VCRS is an easy to use method to measure the influence of each phase of the respiratory cycle on the HR and blood pressure due to the mechanical action of respiration","","0-7803-3811-1","","10.1109/IEMBS.1996.647558","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=647558","","Analysis of variance;Blood pressure;Cardiology;Frequency synchronization;Heart beat;Heart rate;Heart rate variability;Phase measurement;Pressure measurement;Video recording","electrocardiography;pneumodynamics;synchronisation","age dependence;baroreflex sensitivity;blood pressure;body position dependence;constant phase relationship;heart rate variability;respiration action;tidal volume dependence;voluntary cardiorespiratory synchronization","","2","","5","","","31 Oct-3 Nov 1996","31 Oct 1996-03 Nov 1996","IEEE","IEEE Conference Publications"
"Fetal heart rate pattern in prenatal diagnosis - fetal autonomic brain age score","Hoyer, D.; Schneider, U.","Jena Univ. Hosp., Biomagn. Center, Hans Berger Clinic for Neurology, Friedrich Schiller Univ. of Jena, Jena, Germany","Computing in Cardiology Conference (CinC), 2013","20140116","2013","","","81","84","Fetal heart rate patterns provide valuable information about normal fetal maturation. For heart rate variability (HRV) analysis to be successful in prenatal diagnosis the selection of appropriate HRV indices is required. Those indices were organized according to universal principles of developmental biology. Key characteristics of evolution and self-organization are increasing fluctuation amplitude, increasing complexity and pattern formation. Related HRV indices were used to propose a fetal autonomic brain age score (fABAS). We estimated fABAS from magnetocardiographic recordings (21.4-40.3 weeks of gestation) preclassified in quiet (n=113, 63 females) and active sleep (n=286, 145 females) by cross-validated multivariate linear regression models in a cross-sectional study. fABAS explained 66/63% (training / validation set) of the variance by age in quiet and 51/50% in active sleep. We conclude that functional autonomic brain age can be assessed based on universal developmental indices obtained from fetal heart rate patterns.","2325-8861","978-1-4799-0884-4","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6712416","","Abstracts;Complexity theory;Computational modeling;Heart rate variability;Linear regression;Modulation;Standards","bioelectric potentials;brain;magnetocardiography;neurophysiology;regression analysis;sleep","HRV index selection;active sleep classification;cross-sectional study;cross-validated multivariate linear regression models;developmental biology;fABAS estimation;fetal autonomic brain age score;fetal heart rate pattern;fluctuation amplitude;gestation;heart rate variability analysis;magnetocardiographic recordings;normal fetal maturation;prenatal diagnosis;quiet sleep classification;self-organization;time 21.4 week to 40.3 week","","0","","13","","","22-25 Sept. 2013","","IEEE","IEEE Conference Publications"
"Local Scale Exponents of Blood Pressure and Heart Rate Variability by Detrended Fluctuation Analysis: Effects of Posture, Exercise, and Aging","Castiglioni, P.; Parati, G.; Civijian, A.; Quintin, L.; Di Rienzo, M.","Polo Tecnol., Don Gnocchi Found., Milan","Biomedical Engineering, IEEE Transactions on","20090421","2009","56","3","675","684","Heart rate self-affinity is often assessed by detrended fluctuations analysis, obtaining two coefficients only: a short-term (alpha<sub>1</sub>) exponent and a long-term (alpha<sub>2</sub>) exponent. Our aim is to show the limits of this approach and alternatively propose the estimation of the whole spectrum of local exponents alpha(<i>n</i>) for heart rate and blood pressure. To illustrate the advantages of this approach, we assess the effects of autonomic activations and age on alpha(<i>n</i>). We measured ECG and arterial pressure in 60 volunteers for 10 min, considering three conditions at increasing sympathetic activation: supine rest, sitting, and sitting during exercise. We computed alpha(<i>n</i>) of R-R intervals and systolic, mean, and diastolic blood pressures, as the slope of the detrended fluctuations function in a log-log plot. Volunteers were divided into age groups and compared. Results indicate that: 1) alpha<sub>1</sub> cannot be defined because short-term coefficients decrease with <i>n</i>, while alpha<sub>2</sub> cannot be defined only for blood pressure during supine rest; 2) heart rate and blood pressure scaling structures differ during supine rest but not during exercise; and 3) age effects appear mainly in supine rest, explaining discrepant results in literature. In conclusion, we recommend estimating the whole alpha(n) spectrum before possibly providing the ""two-exponent"" description only.","0018-9294","","","10.1109/TBME.2008.2005949","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4633671","Autonomic nervous system;cardiovascular system;fractals;hurst exponent","Aging;Blood pressure;Brownian motion;Fluctuations;Fractals;Gaussian noise;Heart rate;Heart rate variability;Hospitals;Radio access networks;Signal processing","electrocardiography;haemodynamics","ECG;aging;arterial pressure;blood pressure;detrended fluctuation analysis;exercise;heart rate self-affinity;heart rate variability;posture;sitting;supine rest;time 10 min","Adult;Age Factors;Aged;Algorithms;Blood Pressure;Data Interpretation, Statistical;Electrocardiography;Exercise;Female;Fractals;Heart Rate;Humans;Male;Middle Aged;Posture;Reproducibility of Results","15","","35","","2008-09-26","March 2009","","IEEE","IEEE Journals & Magazines"
"Chronomes (rhythms, chaos, and age trends) of human heart rate variability in both genders","Otsuka, K.; Nishimun, Y.; Kubo, Y.; Cornelissen, G.; Halberg, F.","Dept. of Med., Daini Hosp., Tokyo, Japan","Computers in Cardiology 1997","20020806","1997","","","49","52","Heart rate variability (HRV) may reflect autonomic nervous activity. From 24-hour Holter ECG records on 339 healthy subjects (222 M, 117 F), 3-92 years of age, time- and frequency-domain and chaotic measures (correlation dimension, CD, and complexity) of HRV were computed. Changes with age are not invariably linear: following a decrease until ~65 years, the rebound of RR50, SDmeans and the ~3.6 sec spectral power (“HF”(24h)) may represent particularly healthy long-lived subjects. Age-related changes are similar for males and females for SDANNs, SDmeans and the ~3.6 sec power, but differ for the ~10.5 sec/~3.6 sec power ratio which peaks ~46 years for males vs. ~34 years for females. Changes with age in CD are more pronounced by night than by day. The “sympathetic-parasympathetic” antiphase corresponds to physiologic considerations. Changes in HRV may contribute to the increased prevalence of cardiovascular disease with age","0276-6547","0-7803-4445-6","","10.1109/CIC.1997.647827","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=647827","","Aging;Analysis of variance;Cardiovascular diseases;Chaos;Electrocardiography;Frequency measurement;Heart rate variability;Humans;Laboratories;Rhythm","chaos;electrocardiography;frequency-domain analysis;medical signal processing;time-domain analysis","10.5 s;24 h;24-hour Holter ECG records;3 to 92 y;3.6 s;age trends;autonomic nervous activity;cardiovascular disease prevalence;chaotic measures;chronomes;gender;healthy subjects;human heart rate variability;parasympathetic;rhythms;sympathetic","","0","","16","","","7-10 Sep 1997","07 Sep 1997-10 Sep 1997","IEEE","IEEE Conference Publications"
"Nonlinear heart rate variability in a healthy population: Influence of age","Vandeput, S.; Verheyden, B.; Aubert, A.E.; Van Huffel, S.","Dept. of Electr. Eng., Katholieke Univ. Leuven, Leuven","Computers in Cardiology, 2008","20090113","2008","","","53","56","Heart rate variability (HRV) measurements are used as markers of autonomic modulation of heart rate. Numerical noise titration was applied to a large healthy population to examine the influence of age. Increasing age was associated with decreasing nonlinear behaviour and this age dependency was especially prominent during daytime and was also more pronounced in the female population.","0276-6547","978-1-4244-3706-1","","10.1109/CIC.2008.4748975","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4748975","","Biomedical monitoring;Cardiology;Chaos;Data acquisition;Fluctuations;Frequency domain analysis;Heart rate;Heart rate variability;Laboratories;Noise measurement","bioelectric phenomena;biomedical measurement;cardiology;chaos;neurophysiology;nonlinear dynamical systems;numerical analysis;time series","age effects;heart rate autonomic modulation;heart rate variability measurements;nonlinear heart rate variability;numerical noise titration","","1","","14","","","14-17 Sept. 2008","","IEEE","IEEE Conference Publications"
"Aging of complex heart rate dynamics","Struzik, Z.R.; Hayano, J.; Soma, R.; Shin Kwak; Yamamoto, Y.","Graduate Sch. of Educ., Univ. of Tokyo, Saitama, Japan","Biomedical Engineering, IEEE Transactions on","20051219","2006","53","1","89","94","We reveal unexpected origins of age induced departure from 1/f-type temporal scaling in healthy human heart rate. Contrary to the widely established view, we provide evidence that age induced dynamical imbalance in the autonomic control is not due to the emergent functional dominance of the sympathetic nervous system (SNS), but due to emerging (age dependent) relative dynamic dominance of the parasympathetic nervous system function. In particular, we demonstrate that the age induced alterations of healthy heart rate dynamics asymptotically resemble those in so-called primary autonomic failure with neurogenic SNS dysfunction and in other neurodegenerative disorders, including Parkinson's disease even without known autonomic abnormalities. Based upon this, we propose a novel picture of ""autonomic aging"", characterized by an insufficiency of the SNS function to cope dynamically with various environmental stimuli.","0018-9294","","","10.1109/TBME.2005.859801","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1561524","Aging;autonomic nervous system;heart rate variability;multifractals","Aging;Autonomic nervous system;Control systems;Educational technology;Fluid dynamics;Fractals;Heart rate;Humans;Nervous system;Physiology","biocontrol;cardiology;diseases;haemodynamics;medical signal processing;neurophysiology","1/f-type temporal scaling;Parkinson disease;age induced dynamical imbalance;autonomic aging;autonomic control;complex heart rate dynamics;neurodegenerative disorders;neurogenic sympathetic nervous system dysfunction;parasympathetic nervous system;primary autonomic failure","Adaptation, Physiological;Adult;Aged;Aged, 80 and over;Aging;Algorithms;Autonomic Nervous System;Diagnosis, Computer-Assisted;Electrocardiography;Female;Heart;Heart Rate;Humans;Male;Middle Aged;Reproducibility of Results;Sensitivity and Specificity;Shy-Drager Syndrome","14","","40","","","Jan. 2006","","IEEE","IEEE Journals & Magazines"
